"OID","Country or Area","Year","Description","Magnitude","Value"
"122a623.GG...","AUSTRIA","2004","MONETARY GOLD AND SDRS","NATL CURRENCY","0"
"122a6304GG...","AUSTRIA","2004","LOANS","NATL CURRENCY","25575000000"
"122a6204GG...","AUSTRIA","2004","LOANS","NATL CURRENCY","25535000000"
"122a63..GG...","AUSTRIA","2004","LIABILITIES","NATL CURRENCY","164516000000"
"122a6306GG...","AUSTRIA","2004","INSURANCE TECHNICAL RESERVES","NATL CURRENCY","0"
"122a6206GG...","AUSTRIA","2004","INSURANCE TECHNICAL RESERVES","NATL CURRENCY","0"
"122a6M35GG...","AUSTRIA","2004","GROSS DEBT AT FACE VALUE","NATL CURRENCY","150729000000"
"122a6307GG...","AUSTRIA","2004","FINANCIAL DERIVATIVES","NATL CURRENCY","0"
"122a6207GG...","AUSTRIA","2004","FINANCIAL DERIVATIVES","NATL CURRENCY","0"
"122a62..GG...","AUSTRIA","2004","FINANCIAL ASSETS","NATL CURRENCY","76350000000"
"122a6302GG...","AUSTRIA","2004","CURRENCY AND DEPOSITS","NATL CURRENCY","0"
"122a6202GG...","AUSTRIA","2004","CURRENCY AND DEPOSITS","NATL CURRENCY","9825000000"
"122a6305GG...","AUSTRIA","2003","SHARES AND OTHER EQUITY","NATL CURRENCY","0"
"122a6205GG...","AUSTRIA","2003","SHARES AND OTHER EQUITY","NATL CURRENCY","28855000000"
"122a6203GG...","AUSTRIA","2003","SECURITIES OTHER THAN SHARES","NATL CURRENCY","4696000000"
"122a6303GG...","AUSTRIA","2003","SECURITIES OTHER THAN SHARES","NATL CURRENCY","131789000000"
"122a6208GG...","AUSTRIA","2003","OTHER ACCOUNTS RECEIVABLE","NATL CURRENCY","3619000000"
"122a6308GG...","AUSTRIA","2003","OTHER ACCOUNTS PAYABLE","NATL CURRENCY","2950000000"
"122a6M2.GG...","AUSTRIA","2003","NET FINANCIAL WORTH [62-63]","NATL CURRENCY","-80593000000"
